2026-08-09T16:01:38.285+09:00  INFO 14460 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-08-09T16:01:56.485+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 104 / suitLスペード s:1 / num: 4 numLab:4
2026-08-09T16:01:56.486+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=4 / card-c:104
2026-08-09T16:01:56.487+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 105 / suitLスペード s:1 / num: 5 numLab:5
2026-08-09T16:01:56.487+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=5 / card-c:105
2026-08-09T16:01:56.487+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLスペード s:1 / num: 6 numLab:6
2026-08-09T16:01:56.488+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=6 / card-c:106
2026-08-09T16:01:56.488+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLスペード s:1 / num: 7 numLab:7
2026-08-09T16:01:56.488+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=7 / card-c:107
2026-08-09T16:01:56.489+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 108 / suitLスペード s:1 / num: 8 numLab:8
2026-08-09T16:01:56.490+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=8 / card-c:108
2026-08-09T16:01:56.490+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 109 / suitLスペード s:1 / num: 9 numLab:9
