2026-08-08T00:11:19.274+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 112 / suitLダイヤ s:3 / num: 9 numLab:9
2026-08-08T00:11:19.274+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 113 / suitLダイヤ s:3 / num: 10 numLab:10
2026-08-08T00:11:19.275+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 114 / suitLダイヤ s:3 / num: 11 numLab:ジャック
2026-08-08T00:11:19.275+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 115 / suitLダイヤ s:3 / num: 12 numLab:クイーン
2026-08-08T00:11:19.275+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 116 / suitLダイヤ s:3 / num: 13 numLab:キング
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 117 / suitLダイヤ s:3 / num: 14 numLab:エース
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLクラブ s:4 / num: 2 numLab:2
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLクラブ s:4 / num: 3 numLab:3
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 108 / suitLクラブ s:4 / num: 4 numLab:4
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 109 / suitLクラブ s:4 / num: 5 numLab:5
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 110 / suitLクラブ s:4 / num: 6 numLab:6
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 111 / suitLクラブ s:4 / num: 7 numLab:7
2026-08-08T00:11:19.276+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 112 / suitLクラブ s:4 / num: 8 numLab:8
